run,kin,sclrate_per_I_elreal,sclrate_per_I_elclean,sclcnts_per_mC_elreal,avg_I
16978,MF,3315.289,2675,3268398.019,27.489
16979,MF,3329.997,2684,3283021.608,27.972
17036,SRC,3448.005,2814,3400973.643,51.922
17037,SRC,3426.201,2800,3379238.008,51.387
17038,SRC,3429.217,2794,3382185.694,55.110
17039,SRC,3416.833,2789,3369822.227,52.978
17040,SRC,3395.148,2774,3348190.292,51.435
17041,SRC,3398.635,2776,3351655.718,53.038
17045,SRC,3339.072,2703,3292082.790,46.177
17046,SRC,3331.087,2702,3284114.833,43.117
17047,SRC,3383.574,2753,3336595.083,50.509
17048,SRC,3374.758,2737,3327723.409,51.059
17049,SRC,3393.801,2759,3346778.737,54.599
17050,SRC,3393.752,2758,3346763.341,55.916
17051,SRC,3390.424,2757,3343435.212,55.529
17052,SRC,3384.276,2754,3337283.510,54.356
17053,SRC,3381.041,2752,3334039.730,54.631
17054,SRC,3381.622,2750,3334624.234,55.343
17055,SRC,3378.354,2746,3331341.202,55.056
17056,SRC,3378.507,2744,3331518.378,56.409
17057,SRC,3372.321,2739,3325337.344,55.121 
17093,MF,3267.929,2598,3220936.006,28.783
17094,MF,3293.225,2624,3246244.621,33.181
17096,MF,3440.049,2780,3393084.293,60.046